 | ﻿1
00:00:00 | WWW.MY-SUBS.COM ﻿1
00:00:10 | Wow.
00:00:13 | You guys all look how I feel.
00:00:17 | Happens when your worst day is immortalized in print.
00:00:20 | Bad karma.
00:00:21 | Bad karma for what?
00:00:23 | We were all just staring to groove, weren't we?
00:00:25 | I should have never doubted myself.
00:00:28 | I should have gotten there sooner.
00:00:30 | My personal life affected my decision-making.
00:00:33 | Guys, I should have made a diagnosis sooner.
00:00:35 | But we can't just sit here beating ourselves up over it.
00:00:37 | - Okay? - I feel like we can.
00:00:40 | Or at least I can.
00:00:55 | "Yesterday morning, at 7:38 a.m.,
00:01:01 | a bullet ripped through New Amsterdam."
00:01:03 | Synced & corrected by -robtor- www.MY-SUBS.com
00:01:12 | I got dinged for not changing my patient's TV channel
00:01:15 | fast enough.
00:01:16 | Apparently my name brings back bad memories.
00:01:19 | I get it.
00:01:20 | The customer satisfaction survey isn't good.
00:01:22 | - So rewrite the survey. - What?
00:01:24 | If you don't like the answers,
00:01:25 | change the questions.
00:01:26 | What should the patients focus on?
00:01:27 | Nurses know better than anyone.
00:01:30 | Harold.
00:01:31 | You're a long way from the morgue.
00:01:33 | Oh, the ICU has the only decent coffee in the hospital.
00:01:36 | You know, I may work with the dead,
00:01:38 | but that doesn't mean I have their taste.
00:01:40 | Well, I say equal coffee now, equal coffee forever.
00:01:45 | It's a joke, Harold. We'll get you the same coffee.
00:01:47 | Sharpe, why does nobody get my jokes?
00:01:49 | You just missed me solve the hospital's most vexing problem.
00:01:52 | That the ICU has the only decent coffee?
00:01:54 | So that is actually a thing?
00:01:56 | - Are you heading out? - I was.
00:01:58 | When did that happen to your voice?
00:01:59 | On my day off. That'll teach me.
00:02:02 | You don't think the, uh, "Nutella" is spreading, do you?
00:02:05 | I hope you don't expect me to call it that.
00:02:07 | Why? Everyone loves Nutella.
00:02:09 | Let me do a laryngoscopy and see what's going on
00:02:11 | with the, uh... Nutella.
00:02:13 | See? It's catchy.
00:02:14 | Dora.
00:02:15 | Getting exceptionally good at finding me.
00:02:17 | I've updated your tracking device.
00:02:19 | Whatever it is that you wanna tell me or want me to do,
00:02:21 | I can't do it 'cause I have a thing.
00:02:23 | My thing trumps your thing.
00:02:25 | - Find me later. - Okay.
00:02:26 | Max, this is Louis Navarro from the "Standard."
00:02:30 | Apparently HCC approved him to shadow you.
00:02:32 | Right, yes. For the, um, profile.
00:02:35 | Overlord told me.
00:02:36 | - Overlord? - HCC.
00:02:38 | Your supervisors.
00:02:40 | Who doesn't like a fun nickname?
00:02:41 | Probably HCC.
00:02:43 | Do you have a contentious relationship
00:02:44 | with the Health Care Commission?
00:02:46 | Off to a great start.
00:02:47 | Well, if you'll excuse me, I'm gonna go start
00:02:49 | posting my résumé.
00:02:51 | Do you?
00:02:53 | Why don't we start over?
00:02:55 | Pleasure to meet you, Mr. Navarro.
00:02:57 | No, Lou.
00:02:58 | So intrigued to meet the 'Dam's newest medical director
00:03:01 | turning this place upside-down.
00:03:02 | Well, I'm an open book.
00:03:05 | Hey, is, uh, your voice okay?
00:03:06 | Karaoke. You know, one of these days, I have to accept that
00:03:09 | "Total Eclipse of the Heart" just isn't in my range.
00:03:14 | - Pan roasted whole branzino. - Mm-hmm.
00:03:16 | Served with ramps and fiddleheads
00:03:19 | steeped in an unctuous maitake jus.
00:03:21 | - What are fiddleheads? - I have no idea.
00:03:24 | But I'm gonna order them tonight.
00:03:25 | - Mmm. - Maybe even twice.
